RICE HARVEST PRICE ,PADDY HARVEST PRICE ,WHEAT HARVEST PRICE ,SORGHUM HARVEST PRICE ,PEARL MILLET HARVEST PRICE ,MAIZE HARVEST PRICE,FINGER MILLET HARVEST PRICE ,BARLEY HARVEST PRICE ,CHICKPEA HARVEST PRICE ,PIGEONPEA HARVEST PRICE ,GROUNDNUT HARVEST PRICE ,SEASMUM HARVEST PRICE ,RAPE AND MUSTARD HARVEST PRICE ,CASTOR HARVEST PRICE ,SUGARCANE GUR HARVEST PRICE ,COTTON KAPAS HARVEST PRICE 
-1,-1,-1,-1,-1,-1,-1,-1,-1,77.7,-1,157.5,-1,-1,87.3,-1
110,-1,-1,-1,-1,-1,-1,-1,87.8,113.4,-1,125,-1,-1,238.1,-1
98.8,-1,-1,-1,-1,-1,-1,-1,78.9,71.9,-1,125.6,-1,-1,180.7,-1
94,-1,-1,-1,-1,-1,-1,-1,101.4,89.5,-1,168.1,-1,-1,95.1,-1
95.4,-1,-1,-1,-1,-1,-1,-1,82.4,95.8,-1,205.3,-1,100,111.3,-1
95.9,-1,-1,-1,-1,-1,-1,-1,92.2,99.2,-1,200,-1,-1,147,-1
113.6,-1,-1,-1,-1,-1,-1,-1,120.7,149.2,-1,272.5,-1,-1,213.8,-1
135.9,-1,-1,-1,-1,-1,-1,-1,195,152.5,-1,275.5,-1,-1,200,-1
232.8,-1,-1,-1,-1,-1,-1,-1,177.9,166.8,-1,304.3,-1,100,208.6,-1
168.9,-1,-1,-1,-1,-1,-1,-1,122.4,115.2,-1,254.6,-1,-1,191.5,-1
163.1,75.6,-1,-1,-1,-1,-1,-1,130.8,200.7,-1,300,-1,-1,295,-1
158.9,80,-1,-1,-1,-1,-1,-1,192.8,259.4,-1,258.2,-1,-1,193.7,-1
147.8,83.2,120.9,-1,-1,-1,-1,-1,183.6,240.9,-1,272.8,-1,-1,-1,-1
188,101.8,148.9,-1,-1,-1,-1,-1,207.6,238.3,-1,385,-1,-1,-1,-1
189.2,107.6,181.4,-1,-1,-1,-1,-1,320.5,261,-1,436,-1,-1,-1,-1
213.4,116.8,-1,-1,-1,-1,-1,-1,-1,275,-1,525,-1,-1,-1,-1
232.5,129.5,-1,-1,-1,-1,130,-1,-1,-1,-1,600,-1,-1,-1,-1
250,135,219.4,-1,-1,-1,-1,-1,304.7,350,-1,-1,-1,-1,-1,-1
237.8,128.4,183.7,-1,-1,-1,-1,-1,397,304.2,-1,563.3,-1,-1,-1,-1
255.8,137.5,198.6,-1,-1,-1,-1,-1,395.1,316.6,-1,575,-1,-1,-1,-1
250.7,141.9,196.6,-1,-1,-1,-1,-1,310,450.3,-1,830.2,-1,-1,-1,-1
283.1,163.8,250,-1,-1,-1,-1,-1,383.3,604.4,-1,570.4,-1,-1,-1,-1
333.9,182.5,326.7,-1,-1,-1,-1,-1,575.6,496.6,-1,703.8,-1,-1,-1,-1
356.4,208.1,305.4,-1,-1,-1,-1,-1,630.6,587,-1,787,-1,-1,-1,-1
382,230,329,-1,-1,-1,-1,-1,602,858,-1,1014,-1,-1,-1,-1
453,221,384,-1,-1,-1,-1,-1,641,822,-1,1750,-1,-1,-1,-1
497,-1,448,-1,-1,-1,-1,-1,728,992,-1,1407,-1,-1,-1,-1
533,321,463,-1,-1,-1,-1,-1,986,908,-1,1325,-1,-1,-1,-1
580,349,491,-1,-1,-1,575,-1,842,1268,-1,2750,-1,-1,-1,-1
789,500,452,407,387,303,900,342,913,1526,1311,2963,1368,-1,828,1894
837,-1,509,498,-1,463,-1,-1,1142,1329,-1,2050,-1,-1,-1,-1
916,418,701,424,336,407,559,430,1147,1486,1196,2225,1050,1034,1160,2123
-1,452,606,-1,-1,-1,-1,-1,1065,1296,-1,2487,-1,-1,-1,-1
-1,506,776,-1,-1,-1,-1,-1,1239,1400,-1,2302,-1,-1,-1,-1
-1,491,742,-1,-1,-1,1200,-1,1680,1389,-1,1690,-1,-1,-1,-1
-1,507,755,-1,-1,-1,-1,-1,1401,1441,-1,-1,-1,-1,-1,-1
-1,485,768,-1,-1,-1,-1,-1,1358,1317,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
882,557,638,-1,-1,-1,-1,-1,1327,1529,-1,-1,-1,-1,-1,-1
972,555,831,-1,-1,-1,-1,-1,1660,1712,-1,3055,-1,-1,-1,-1
1046,593,1034,-1,-1,-1,-1,-1,2590,2282,-1,4647,-1,-1,-1,-1
1033,697,1364,-1,-1,-1,-1,-1,2828,2508,-1,5072,-1,-1,-1,-1
1421,882,1409,-1,-1,-1,-1,-1,2771,2350,-1,6650,-1,-1,-1,-1
1600,927,1522,-1,-1,-1,-1,-1,2682,5085,-1,-1,-1,-1,-1,-1
1825,1000,1485,-1,-1,-1,-1,-1,2604,5125,-1,8000,-1,-1,-1,-1
1786,965,1356,-1,-1,-1,-1,-1,3367,4750,-1,-1,-1,-1,-1,-1
-1,1256,1582,-1,-1,-1,-1,-1,3255,4581,4167,2600,-1,-1,-1,-1
-1,1307,2000,-1,-1,-1,-1,-1,3000,4219,6000,-1,4000,-1,-1,-1
2116,1395,1592,-1,-1,-1,-1,-1,3632,4951,5005,-1,-1,-1,4009,-1
